frame,image load Time,image convertion time,kernel calculation time,image display time 
0,2.910200,0.033700,2.325500,5.260800
1,0.121300,0.021300,2.334600,12.583400
2,0.113300,0.025600,2.394700,13.527600
3,0.113300,0.025300,2.373000,12.601500
4,0.176500,0.025100,2.571400,13.234800
5,0.145200,0.023100,2.304300,13.528200
6,0.132300,0.021800,2.318100,13.534100
7,0.149900,0.020300,2.297400,13.544700
8,0.182700,0.026300,2.431000,13.370000
9,0.115200,0.021700,2.300500,13.568600
10,0.112800,0.024300,2.512400,13.378500
11,0.135600,0.024000,2.639900,13.201300
12,0.109300,0.021500,2.280400,13.650100
13,0.115200,0.027000,2.520500,12.986600
14,0.146800,0.027000,2.372300,13.472600
15,0.110600,0.023000,2.446200,12.419100
16,0.127800,0.023200,2.287100,13.573700
17,0.109100,0.021900,2.311400,13.065200
18,0.131500,0.032200,2.774500,13.076700
19,0.142200,0.030600,2.530600,13.297300
20,0.151300,0.029800,2.454500,13.379600
21,0.117500,0.026500,2.686300,13.168500
22,0.173400,0.021500,2.314400,13.512600
23,0.115000,0.022400,2.305900,13.559500
24,0.168700,0.027600,2.487500,13.336500
25,0.148300,0.026700,3.373200,12.458500
26,0.117800,0.026600,2.631300,13.224800
27,0.106000,0.022200,2.312200,13.572900
28,0.135100,0.027100,2.596000,12.254600
29,0.201400,0.038200,2.463300,13.283100
30,0.120400,0.026000,2.407800,12.463100
31,0.110000,0.025200,2.499300,13.387500
32,0.124500,0.026300,2.419400,12.424000
33,0.131200,0.025600,2.757400,13.094500
34,0.145000,0.021900,2.341900,13.504600
35,0.104400,0.021700,2.361000,13.516600
36,0.128900,0.027500,2.457700,12.397700
37,0.117900,0.021500,2.377300,13.488700
38,0.117800,0.027000,2.486100,13.387400
39,0.121800,0.027200,2.441700,13.410000
40,0.163000,0.023500,2.302900,12.526500
41,0.125400,0.021800,2.322300,13.533200
42,0.274200,0.033400,2.763300,12.940700
43,0.121500,0.027600,2.428300,13.419000
44,0.208100,0.026300,2.372200,13.412100
45,0.150400,0.026800,2.567300,13.270100
46,0.139900,0.027500,3.042600,12.788600
47,0.122700,0.022500,3.080800,12.782800
48,0.154700,0.027000,2.422700,12.566200
49,0.100800,0.025200,2.578100,13.289500
50,0.125700,0.027500,2.689200,12.972800
51,0.104200,0.021600,2.272500,12.769500
52,0.097400,0.019500,2.282100,13.478500
53,0.125300,0.027100,2.380700,12.621000
54,0.194400,0.027500,2.543600,12.061700
55,0.118200,0.025400,2.371500,12.611400
56,0.146400,0.024700,2.337500,12.316500
57,0.231300,0.033900,2.801400,11.929100
58,0.111200,0.021400,2.296100,12.578500
59,0.129400,0.024400,2.357200,12.507500
60,0.138300,0.026500,2.362400,13.469300
61,0.108500,0.025300,2.322600,12.549200
62,0.125300,0.021200,2.261000,13.589300
63,0.110300,0.025900,2.409300,13.324000
64,0.120600,0.022100,2.264300,12.844800
65,0.104800,0.025000,2.450400,13.278400
66,0.097800,0.020800,2.239200,13.509100
67,0.115100,0.026100,2.480300,12.511200
68,0.109300,0.025900,2.434400,13.417600
69,0.098200,0.024200,2.380700,13.489800
70,0.185700,0.027400,2.381900,12.399100
71,0.095300,0.019200,2.236700,12.778300
72,0.106400,0.025200,2.568400,12.164800
73,0.086500,0.024000,2.456200,12.560700
74,0.166500,0.025700,2.295300,13.379100
75,0.195900,0.033600,2.391300,12.667600
76,0.096500,0.024600,2.504300,13.091800
77,0.148800,0.027800,2.375900,13.328500
78,0.107200,0.024500,2.489000,13.479800
79,0.087000,0.019700,2.333100,13.550700
80,0.098400,0.025200,2.353700,13.549000
81,0.155200,0.026200,2.490500,13.319400
82,0.113000,0.021700,2.279200,13.599500
83,0.113200,0.026000,2.317600,13.489000
84,0.112000,0.024500,2.342400,13.522800
85,0.147300,0.029600,2.467800,13.358300
86,0.084700,0.019000,2.325200,13.563100
87,0.099500,0.023600,2.313200,13.580300
88,0.132200,0.025300,2.342400,13.475200
89,0.111500,0.023800,2.323300,13.532500
90,0.089400,0.023400,2.343900,12.679300
91,0.105600,0.025500,2.518200,13.210200
92,0.117600,0.025900,2.506300,13.360700
93,0.223700,0.037300,2.596700,13.134300
94,0.143000,0.026300,2.359000,13.465300
95,0.114900,0.026900,2.421900,13.428800
96,0.130200,0.025300,2.361800,13.481200
97,0.095600,0.024300,2.461100,12.541400
98,0.107400,0.025000,2.311800,13.425200
99,0.099900,0.023300,2.338100,12.671700
100,0.108600,0.020600,2.240700,13.499100
101,0.135900,0.025400,2.734100,13.121700
102,0.127600,0.028100,2.341800,13.468400
103,0.093500,0.023400,2.311800,13.566800
104,0.106500,0.020400,2.236900,12.636400
105,0.112800,0.024300,2.336600,13.517000
106,0.102700,0.024600,2.361700,13.523900
107,0.127000,0.023200,2.541200,13.298100
108,0.133500,0.025700,2.337400,13.503200
109,0.148500,0.023000,2.398000,12.544000
110,0.098300,0.026700,2.784000,12.269500
111,0.126900,0.026900,2.504100,13.345000
112,0.136000,0.025800,2.478100,13.044700
113,0.092300,0.024700,2.342500,12.663100
114,0.121800,0.025500,2.475400,12.248400
115,0.104200,0.024100,2.303300,12.690400
116,0.089700,0.018700,2.370600,13.402700
117,0.104400,0.025700,2.446500,13.411200
118,0.124900,0.024700,2.346900,13.511800
119,0.120500,0.026300,2.289800,13.543200
120,0.114300,0.023000,2.302300,13.573700
121,0.113300,0.026100,2.430100,13.412100
122,0.121300,0.024700,2.288200,12.694100
123,0.115000,0.025000,2.264500,13.456700
124,0.125500,0.024400,2.322900,13.531700
125,0.108000,0.025900,2.342300,12.639800
126,0.104700,0.024200,2.472700,13.422300
127,0.123200,0.022000,2.492600,12.499800
128,0.173800,0.030900,2.501200,13.001100
129,0.088300,0.024000,2.442500,13.310500
130,0.122500,0.024000,2.341800,12.639000
131,0.102300,0.024700,2.339800,12.651100
132,0.094300,0.019700,2.261900,13.502400
133,0.094200,0.024200,2.444400,13.435000
134,0.197200,0.029100,2.337500,13.428800
135,0.120500,0.026300,2.323900,13.528800
