frame,image load Time,image convertion time,kernel calculation time,image display time 
0,3.640100,0.079000,0.633300,0.000000
1,0.095100,0.018700,0.572000,0.000000
2,0.055800,0.018300,0.565900,0.000100
3,0.054500,0.018400,0.562900,0.000000
4,0.080200,0.018400,0.553900,0.000000
5,0.055300,0.020100,0.554900,0.000100
6,0.054700,0.018400,0.555900,0.000100
7,0.053600,0.018600,0.564200,0.000000
8,0.057100,0.018700,0.687200,0.000000
9,0.077200,0.024600,0.761100,0.000000
10,0.091100,0.022600,0.780000,0.000000
11,0.110700,0.023200,0.773300,0.000100
12,0.119500,0.022000,0.558000,0.000100
13,0.101200,0.018500,0.565600,0.000000
14,0.082600,0.019100,0.576200,0.000000
15,0.061000,0.018600,0.702600,0.000000
16,0.072200,0.018700,0.585300,0.000000
17,0.063100,0.019100,0.553400,0.000000
18,0.060300,0.018500,0.569200,0.000000
19,0.081600,0.019300,0.546400,0.000000
20,0.128400,0.018900,0.553500,0.000000
21,0.064200,0.018300,0.546300,0.000000
22,0.068000,0.018400,0.551700,0.000000
23,0.055000,0.018500,0.546500,0.000000
24,0.082700,0.018400,0.546600,0.000000
25,0.053600,0.018400,0.545300,0.000000
26,0.055600,0.018300,0.550200,0.000000
27,0.053800,0.018400,0.544600,0.000000
28,0.055000,0.018300,0.543700,0.000000
29,0.057800,0.018400,0.547400,0.000000
30,0.052400,0.018200,0.539000,0.000000
31,0.053600,0.018200,0.543400,0.000000
32,0.052900,0.018300,0.541200,0.000100
33,0.053200,0.018200,0.539300,0.000100
34,0.068600,0.018500,0.545000,0.000000
35,0.050000,0.018400,0.537900,0.000000
36,0.050600,0.018300,0.545100,0.000100
37,0.049200,0.018200,0.539000,0.000000
38,0.053400,0.018400,0.542100,0.000000
39,0.048600,0.018200,0.541300,0.000000
40,0.048700,0.018300,0.539600,0.000000
41,0.048500,0.018300,0.544300,0.000000
42,0.055400,0.018200,0.546100,0.000000
43,0.048600,0.018300,0.543400,0.000000
44,0.057500,0.018300,0.639300,0.000000
45,0.053200,0.018800,0.542100,0.000100
46,0.050000,0.018400,0.538200,0.000000
47,0.048600,0.018200,0.544300,0.000000
48,0.048300,0.018400,0.540600,0.000000
49,0.048600,0.018300,0.536200,0.000000
50,0.047500,0.018100,0.533600,0.000000
51,0.049400,0.018100,0.533300,0.000000
52,0.047600,0.018200,0.541200,0.000000
53,0.064600,0.018300,0.542200,0.000100
54,0.074700,0.018300,0.541700,0.000000
55,0.051400,0.018200,0.536700,0.000000
56,0.052400,0.018300,0.553000,0.000000
57,0.051600,0.018200,0.536900,0.000000
58,0.050300,0.018400,0.532900,0.000000
59,0.049700,0.018200,0.538100,0.000000
60,0.050500,0.018000,0.530200,0.000000
61,0.048600,0.018300,0.530600,0.000100
62,0.049600,0.018300,0.532400,0.000000
63,0.050300,0.018200,0.527100,0.000100
64,0.058000,0.018200,0.528200,0.000000
65,0.053300,0.018200,0.527800,0.000100
66,0.054200,0.018200,0.536700,0.000000
67,0.053800,0.018200,0.527000,0.000000
68,0.050500,0.018300,0.526300,0.000100
69,0.049200,0.018100,0.530000,0.000000
70,0.050700,0.018000,0.536600,0.000100
71,0.051600,0.018100,0.524500,0.000100
72,0.050300,0.018000,0.527700,0.000000
73,0.050100,0.018100,0.527100,0.000000
74,0.071100,0.018300,0.531600,0.000100
75,0.072300,0.018100,0.537900,0.000100
76,0.055800,0.018200,0.530900,0.000000
77,0.052500,0.018100,0.527800,0.000100
78,0.050800,0.018200,0.532200,0.000100
